INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR,Latitude,Longitude
Fatal/Injury Collision,SCOTT RD / OLD YALE RD,1,2013,0,0
Fatal/Injury Collision,128TH ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 162A ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 62ND AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 17TH AVE,1,2013,0,0
Fatal/Injury Collision,80TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,92ND AVE / 154TH ST,1,2013,0,0
Fatal/Injury Collision,192ND ST / 54TH AVE,1,2013,0,0
Fatal/Injury Collision,156TH ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,102ND AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,194A ST / 70TH AVE,1,2013,0,0
Fatal/Injury Collision,24TH AVE / 144TH ST,1,2013,0,0
Fatal/Injury Collision,103A AVE / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 105A AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 69A AVE,1,2013,0,0
Fatal/Injury Collision,154TH ST / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 29A AVE,1,2013,0,0
Fatal/Injury Collision,176TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,88TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,104TH AVE / SCOTT RD,1,2013,0,0
Fatal/Injury Collision,56TH AVE / 177B ST,1,2013,0,0
Fatal/Injury Collision,102A AVE / 154TH ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 86TH AVE,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 154TH ST,1,2013,0,0
Fatal/Injury Collision,102B AVE / 156TH ST,1,2013,0,0
Fatal/Injury Collision,56TH AVE / 188TH ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 29A AVE,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,LAUDER DR / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,104TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 76TH AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 17TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,102A AVE / 150TH ST,1,2013,0,0
Fatal/Injury Collision,69TH AVE / 188TH ST,1,2013,0,0
Fatal/Injury Collision,SOUTHMERE CRES E / MARTIN DR,1,2013,0,0
Fatal/Injury Collision,72ND AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,88TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,160TH ST / 32ND AVE,1,2013,0,0
Fatal/Injury Collision,16TH AVE / 184TH ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,98TH AVE / 160TH ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 34TH AVE,1,2013,0,0
Fatal/Injury Collision,76TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,105TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,148TH ST / 60TH AVE,1,2013,0,0
Fatal/Injury Collision,102ND AVE / 140TH ST,1,2013,0,0
Fatal/Injury Collision,120TH ST / NORDEL WAY,1,2013,0,0
Fatal/Injury Collision,152ND ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,144TH ST / 108TH AVE,1,2013,0,0
Fatal/Injury Collision,68TH AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,56TH AVE / 176TH ST,1,2013,0,0
Fatal/Injury Collision,78TH AVE / 124TH ST,1,2013,0,0
Fatal/Injury Collision,166TH ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,144TH ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,132ND ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,16TH AVE / 156TH ST,1,2013,0,0
Fatal/Injury Collision,16TH AVE / MARTIN DR,1,2013,0,0
Fatal/Injury Collision,154TH ST / 16A AVE,1,2013,0,0
Fatal/Injury Collision,140TH ST / FRASER HWY,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 168TH ST,1,2013,0,0
Fatal/Injury Collision,104TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,152ND ST / 24TH AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 142ND ST,1,2013,0,0
Fatal/Injury Collision,132ND ST / 95A AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 132ND ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / CRESCENT RD,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 142ND ST,1,2013,0,0
Fatal/Injury Collision,128TH ST / 92ND AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 86TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,108TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 80TH AVE,1,2013,0,0
Fatal/Injury Collision,120TH ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,140TH ST / 106TH AVE,1,2013,0,0
Fatal/Injury Collision,122ND ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 72ND AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 84TH AVE,1,2013,0,0
Fatal/Injury Collision,176TH ST / 8TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 20TH AVE,1,2013,0,0
Fatal/Injury Collision,156TH ST / 88TH AVE,1,2013,0,0
Fatal/Injury Collision,32ND AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE FRTG / 129TH ST,1,2013,0,0
Fatal/Injury Collision,20TH AVE / 128TH ST,1,2013,0,0
Fatal/Injury Collision,152ND ST / 66A AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 32ND AVE,1,2013,0,0
Fatal/Injury Collision,123A ST / 99A AVE,1,2013,0,0
Fatal/Injury Collision,128TH ST / 87TH AVE,1,2013,0,0
Fatal/Injury Collision,96TH AVE / 152ND ST,1,2013,0,0
Fatal/Injury Collision,132ND ST / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,72ND AVE / 138TH ST,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,132ND ST / 100TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 56TH AVE,1,2013,0,0
Fatal/Injury Collision,24TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,KING GEORGE BLVD / 64TH AVE,1,2013,0,0
Fatal/Injury Collision,100TH AVE / KING GEORGE BLVD,1,2013,0,0
Fatal/Injury Collision,152ND ST / 96TH AVE,1,2013,0,0
Fatal/Injury Collision,152ND ST / 76TH AVE,1,2013,0,0
Fatal/Injury Collision,70A AVE / 136B ST,1,2013,0,0
Fatal/Injury Collision,132ND ST / 80TH AVE,1,2013,0,0
Fatal/Injury Collision,134TH ST / 71ST AVE,1,2013,0,0
